Primary Key,Year,Company Market Cap,ESG Controversies Score,ESG Score,Independent Board Members,Return on Assets - Actual,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name
ADSGn.DE_2016,2016,31413810328,70,88.41809795,100.00%,,,,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ADSGn.DE_2015,2015,,75,93.50407631,,,,,ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
AEF.MI_2025,2025,36261238,,,50.00%,,0.22199,1.7648835,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2024,2024,93190653.47,,,60.00%,,-0.33869,3.3833636,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2023,2023,98558778.67,100,38.68335559,50.00%,,-0.07879,2.3084547,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2022,2022,132914780,100,39.80577645,0.00%,,0.0775,1.6891171,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2021,2021,296320511,100,38.94242071,0.00%,,-0.10199,1.0265096,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2020,2020,118528204.4,,,0.00%,,0.0733,0.8181398,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2019,2019,214080833,,,0.00%,,0.1077,0.3191329,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2018,2018,251765071.9,,,0.00%,,,0.4338362,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2017,2017,241565634,,,0.00%,,0.0272,0.4739387,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AEF.MI_2016,2016,119172379.4,,,0.00%,,,0.630272,AEF.MI,Aeffe SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2025,2025,136815.2,,,0.00%,,,1.0847167,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2024,2024,82089.12,,,0.00%,,,0.6050989,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2023,2023,54726.08,,,0.00%,,,0.6922998,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2022,2022,10055917.2,,,0.00%,,,0.2714831,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2021,2021,17922791.2,,,0.00%,,,0.3507371,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2020,2020,20111834.4,16.66666667,33.90636442,0.00%,,0.01816,0.3551922,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2019,2019,34203800,,,0.00%,,,0.3250267,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2018,2018,40360484,,,0.00%,,,0.2829393,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2017,2017,79498645.59,,,0.00%,,,0.2893663,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AAHG.F_2016,2016,93893104.65,,,0.00%,,,0.2796781,AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
AKSA.IS_2025,2025,756293405.3,,,33.33%,,,0.2696603,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2024,2024,1374207675,100,77.8893405,36.36%,,,0.2150415,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2023,2023,1025085577,100,80.55481349,33.33%,,0.147,0.2496166,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2022,2022,1488416731,100,82.89063131,33.33%,,,1.049613,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2021,2021,733142483.8,100,80.20047964,41.67%,,,1.0181855,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2020,2020,520399897.1,100,67.85090522,22.22%,,0.25899,1.0384108,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2019,2019,380121735.4,100,55.83997134,30.77%,,,1.313217,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2018,2018,227572818.4,100,37.77336739,35.71%,,0.16788,0.8361094,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2017,2017,523013822.2,100,22.3600735,0.00%,,,0.6676552,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
AKSA.IS_2016,2016,458055111,,,0.00%,,0.1007,,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2025,2025,754223111.5,,,42.86%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2024,2024,1178324313,88.63636364,31.75330617,42.86%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2023,2023,1154669102,100,35.88547584,37.50%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2022,2022,872185231.7,100,38.63109574,0.00%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2021,2021,1510318353,,,0.00%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2020,2020,1296987726,,,0.00%,,0.0757,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2019,2019,52521136.85,,,0.00%,,,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2018,2018,67331123.84,,,0.00%,,0.05841,,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2017,2017,70151484.96,,,0.00%,,,15.097901,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALOK.NS_2016,2016,66522845.81,,,0.00%,0.05486,0.15311,4.8377561,ALOK.NS,Alok Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ALPA4.SA_2025,2025,1185412194,,,0.00%,0.017,0.0277,0.399686,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2024,2024,646133081.3,,,0.00%,0.2519,0.329,0.4481837,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2023,2023,1307848114,,,0.00%,0.05309,0.09609,0.2477496,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2022,2022,1636253573,100,68.33716812,0.00%,0.1074,0.2174,0.083104,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2021,2021,3162946008,100,63.45352458,0.00%,0.03,0.0501,0.1809159,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2020,2020,3683382637,100,24.66525551,0.00%,0.0645,0.1091,0.2624487,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2019,2019,3961266753,100,16.37378219,0.00%,,0.21038,0.2481677,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2018,2018,1768418523,,,0.00%,,,0.3239916,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2017,2017,2050651130,,,0.00%,,0.0968,0.2869051,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
ALPA4.SA_2016,2016,1299941726,,,0.00%,,,,ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC)
2020.HK_2025,2025,24646243546,,,40.00%,0.1142,0.2066,0.4213428,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2024,2024,27330249675,100,74.02284471,40.00%,0.12679,0.23839,0.3833066,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2023,2023,24899396659,100,72.22364761,41.67%,0.11512,0.23972,0.5152092,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2022,2022,33215043521,100,67.99682093,36.36%,0.1348,0.2917,0.5785301,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2021,2021,35658869439,100,67.33139763,40.00%,0.10182,0.2279,0.6560951,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2020,2020,35091186229,100,59.60935056,40.00%,0.16289,0.29809,0.5254649,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2019,2019,21581302201,100,56.36134823,40.00%,0.18886,0.27831,0.1079249,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2018,2018,11224587938,100,59.76248599,33.33%,0.185,0.266,0.0102998,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
2020.HK_2017,2017,10154398189,100,48.09787045,33.33%,0.179,0.263,0.1594522,2020.HK,ANTA Sports Products Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing
