Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Total Debt Percentage of Total Equity: 2025,Total Debt Percentage of Total Equity: 2024,Total Debt Percentage of Total Equity: 2023,Total Debt Percentage of Total Equity: 2022,Total Debt Percentage of Total Equity: 2021,Total Debt Percentage of Total Equity: 2020,Total Debt Percentage of Total Equity: 2019,Total Debt Percentage of Total Equity: 2018,Total Debt Percentage of Total Equity: 2017,Total Debt Percentage of Total Equity: 2016,Return on Assets - Actual: 2025,Return on Assets - Actual: 2024,Return on Assets - Actual: 2023,Return on Assets - Actual: 2022,Return on Assets - Actual: 2021,Return on Assets - Actual: 2020,Return on Assets - Actual: 2019,Return on Assets - Actual: 2018,Return on Assets - Actual: 2017,Return on Assets - Actual: 2016,Return on Equity - Actual: 2025,Return on Equity - Actual: 2024,Return on Equity - Actual: 2023,Return on Equity - Actual: 2022,Return on Equity - Actual: 2021,Return on Equity - Actual: 2020,Return on Equity - Actual: 2019,Return on Equity - Actual: 2018,Return on Equity - Actual: 2017,Return on Equity - Actual: 2016,Company Market Cap: 2025,Company Market Cap: 2024,Company Market Cap: 2023,Company Market Cap: 2022,Company Market Cap: 2021,Company Market Cap: 2020,Company Market Cap: 2019,Company Market Cap: 2018,Company Market Cap: 2017,Company Market Cap: 2016,Independent Board Members: 2025,Independent Board Members: 2024,Independent Board Members: 2023,Independent Board Members: 2022,Independent Board Members: 2021,Independent Board Members: 2020,Independent Board Members: 2019,Independent Board Members: 2018,Independent Board Members: 2017,Independent Board Members: 2016,ESG Score: 2025,ESG Score: 2024,ESG Score: 2023,ESG Score: 2022,ESG Score: 2021,ESG Score: 2020,ESG Score: 2019,ESG Score: 2018,ESG Score: 2017,ESG Score: 2016,ESG Score: 2015,ESG Score: 2014,ESG Controversies Score: 2025,ESG Controversies Score: 2024,ESG Controversies Score: 2023,ESG Controversies Score: 2022,ESG Controversies Score: 2021,ESG Controversies Score: 2020,ESG Controversies Score: 2019,ESG Controversies Score: 2018,ESG Controversies Score: 2017,ESG Controversies Score: 2016,ESG Controversies Score: 2015,ESG Controversies Score: 2014
ASIA.KL,Asia Brands Bhd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,0.1975705,0.2704769,0.1608097,0.1512351,0.2608582,0.3334274,0.343868,0.710752,0.9945408,0.8678138,,,0.0821,,,,,,,,0.1444,,0.11043,,,,,,,,25639460.47,26152964.36,25489973.47,27173239.68,24573821.78,30327061.47,25377307.17,18664173.43,13617871.45,15103281.2,33.33%,33.33%,42.86%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.95822492,13.9614806,11.88357908,20.14581352,,,,,,,,,100,100,100,100,,,,,,,,
7936.T,Asics Corp,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.4991743,0.6388605,0.8093487,0.7538915,0.9702989,0.5291256,0.343987,0.306445,0.3375032,,0.188,0.114,0.08,0.0277,-0.021,0.033,-0.06676,0.063,0.068,0.064,0.291,0.188,0.126,0.06807,-0.116,0.045,-0.12331,0.065,0.078,,15013792128,14471799622,5388525845,3943158086,3716317672,2963749680,2828819471,2227061510,2657116388,3800189964,58.33%,66.67%,62.50%,62.50%,46.67%,25.00%,27.78%,28.57%,31.25%,25.00%,,66.12259519,70.00475591,69.11985766,71.23022305,69.07768415,59.39345324,63.94150794,69.04272331,71.04668721,68.40160611,,,100,100,100,100,100,40,100,100,100,100,
BATA.NS,Bata India Ltd,Textiles & Apparel,Footwear,Footwear (NEC),0.9184032,0.8889254,0.8666662,0.6029861,0.5871573,0.6595362,,,,,0.2314,,,,,,,,,0.085,0.1338,0.1771,0.19859,0.05769,-0.0464,0.181,,0.1576,0.14301,0.1306,1148507727,1995074666,2311893694,2394387349,2841658075,2276128265,2814613868,1827431866,1254380370,810423660.2,41.67%,36.36%,50.00%,42.86%,50.00%,54.55%,45.45%,0.00%,0.00%,0.00%,62.81375532,65.09331729,67.21438375,63.16165681,49.54349367,44.10374481,41.580215,,,,,,83.92857143,100,71.42857143,100,100,100,100,,,,,
BIRK.N,Birkenstock Holding PLC,Textiles & Apparel,Footwear,Footwear (NEC),0.4809239,0.5143087,0.8141581,0.8711805,0.9174794,0.5400623,,,,,0.0704,0.0495,0.0857,,,,,,,,0.12929,0.0956,0.08629,,,,,,,,6404250150,10279496657,8293573291,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,21.01515118,,,,,,,,,,,,100,,,,,,,,,
BORG.ST,Bjorn Borg AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.1672246,0.1221406,0.2513816,0.400994,0.5363472,1.096714,0.5962904,0.4506161,0.4741978,,0.10839,,,,,,,,,,0.2067,0.21988,0.15152,0.27519,,0.1425,,,0.0848,,146261511,113201015.9,100956754.9,69540000.8,123883094.1,49361160,60670940.5,47558832.25,71824967.66,88512194.56,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,67.40199303,60.01162205,64.22729667,63.49356427,56.55639665,,,,,,,,100,100,100,100,100,,,,,,
3998.HK,Bosideng International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.1091276,0.2328924,0.2509701,0.2805939,0.2589974,0.3100033,0.1610187,0.2390355,0.3190603,0.4554182,0.13859,0.13461,0.1069,0.1025,0.0941,0.07413,0.06647,,,,0.24039,0.23925,0.1824,0.1773,0.1607,0.11964,0.10067,0.06558,,,5696663799,5595684523,4442069799,4836628027,6029730471,4502138643,3491418333,1760227327,775089039.6,877992089.8,37.50%,37.50%,37.50%,37.50%,37.50%,33.33%,40.00%,36.36%,36.36%,40.00%,62.86762458,62.38769091,58.99031036,58.80350754,53.87307079,44.29332038,41.58691655,43.01345156,40.65895436,21.82161027,,,100,100,100,100,100,66.66666667,100,100,100,100,,
BCU.MI,Brunello Cucinelli SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,1.9013113,1.481148,1.7549418,2.0789113,2.5978422,1.8683399,0.2778462,0.2975824,0.4370069,,0.0765,0.0848,0.06469,0.0474,-0.032,0.0704,0.1072,0.1162,0.0866,,0.25649,0.27809,0.2307,0.18539,-0.11929,0.1805,0.1865,0.2139,0.1779,,6707371603,7167200000,6024800000,4698800000,4127600000,2418115910,2146080000,2043400000,1836680000,1383120000,42.86%,50.00%,50.00%,50.00%,56.25%,36.36%,36.36%,0.00%,0.00%,0.00%,,40.70573905,49.55295925,49.67658668,47.64763909,52.42144612,55.56222823,50.24045581,,,,,,61.36363636,100,100,100,100,100,100,,,,
CALN.S,Calida Holding AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.3998934,0.47076,0.2233084,0.2529643,0.3449521,0.499337,0.1497289,0.0537741,0.0806443,,,,,,0.06089,-0.0041,0.048,0.0566,,0.0478,0.07209,,0.11669,0.11929,-0.0084,0.0951,0.09,0.08306,0.0936,,97444254.62,196271985.8,267226373.2,401445631.4,388021150.1,243179886.7,280011100.4,222644319.6,266678711.2,264143458.8,85.71%,72.73%,55.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,54.70702705,40.33021412,46.26444834,38.34468686,13.45438867,,,,,,,,100,100,100,100,100,,,,,,
GOOS.TO,Canada Goose Holdings Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.3345311,1.7199528,1.5790576,1.2225201,1.0779086,0.7420223,0.3638186,0.5626781,0.9994595,0.9775616,0.06519,0.0658,0.07549,0.0839,0.0657,0.1602,0.238,0.2025,0.1203,,0.2108,0.2278,0.2467,0.2323,0.1537,0.3202,0.4717,0.4829,0.3057,,1071989770,938933986.2,1091468345,1749271956,3488212753,2680779531,3540865087,4182704009,2820907397,,66.67%,70.00%,60.00%,66.67%,62.50%,62.50%,62.50%,0.00%,0.00%,0.00%,,44.91516353,47.40062922,47.44664378,35.66574352,25.85434672,17.82036503,13.83745712,,,,,,38.63636364,100,44.11764706,100,100,100,100,,,,
3818.HK,China Dongxiang (Group) Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.005128,0.0042868,0.0059552,0.0248971,0.0187447,0.0319719,,,0.0524234,0.0776045,,-0.06294,0.01092,-0.15109,,0.0314,,,,,,-0.06823,0.01209,-0.1673,0.12835,0.0351,,,,,283784340.1,256237794.7,194714195.4,218376909.8,451750341.6,503571878.7,579674568,786397493.8,877984264.8,950814986.1,57.14%,42.86%,42.86%,42.86%,42.86%,50.00%,57.14%,0.00%,57.14%,66.67%,56.79589694,50.752408,54.94971169,58.03074212,44.54869613,43.63684276,19.16411918,,37.9893233,38.51756153,,,100,100,100,100,100,100,100,,100,100,,
