Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6,0.4211618806637637,3.966666666666667,4.133333333333334,30.0,
Main,Crit_B,0.5,0,0,30,0,0.5777777778222222,0.3413886011446987,3.1000000000666668,3.1333333333333333,30.0,
Main,Crit_C,0.5,0,0,30,0,0.5283333333,0.3283652993606794,3.845000000033333,3.9866666666666664,30.0,
Main,Crit_D,0.5,0,0,30,0,1.3,-0.07015366989352412,3.3,4.6,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7275306888723924,3.9,3.8666666666666667,30.0,
Sub,A-01,0.5,0,0,30,0,0.6666666666666666,0.36232880666989997,4.033333333333333,4.433333333333334,30.0,
Sub,A-02,0.5,0,0,30,0,0.8,0.08148495261897326,3.9,3.8333333333333335,30.0,
Sub,B-01,0.5,0,0,30,0,0.7333333333333333,0.19888348640374587,3.2666666666666666,3.1333333333333333,30.0,
Sub,B-02,0.7211538461538461,3,8,18,1,0.7222222222222222,0.014850723299476898,2.8333333333333335,3.0,18.0,
Sub,B-03,0.5,0,0,30,0,0.8666666666666667,0.33984119517985945,3.1,3.1666666666666665,30.0,
Sub,C-01,0.84375,11,0,14,5,0.9285714285714286,-0.13198757763975166,4.642857142857143,4.142857142857143,14.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.8148148148148148,0.22796009402706052,4.2592592592592595,3.888888888888889,27.0,
Sub,C-04,0.5,0,0,30,0,0.8,-0.003929782565330164,4.133333333333334,4.8,30.0,
Sub,C-05,0.5,0,0,30,0,0.7666666666666667,-0.05848623319845592,3.466666666666667,3.2333333333333334,30.0,
Sub,C-06,0.5,0,0,30,0,0.9333333333333333,0.027837478251970027,3.4,4.0,30.0,
Sub,D-01,0.5,0,0,30,0,1.3,-0.07015366989352412,3.3,4.6,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7275306888723924,3.9,3.8666666666666667,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,15,8,329,8,0.8237082066869301,0.35743367530630166,3.6656534954407296,3.857142857142857,,MAEm: 0.8249 | Global Avg Recall N/A: 0.8142 | Global Alpha: 0.3574
