Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5833333333333334,0.3848987438862823,3.966666666666667,4.216666666666667,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6555555556666667,0.34475083087846503,3.1000000000666668,2.622222222222222,30.0,
Main,Crit_C,0.5,0,0,30,0,0.4322222222333333,0.4441335941866964,3.845000000033333,3.4816666666666674,30.0,
Main,Crit_D,0.5,0,0,30,0,0.8,0.38963234919178,3.3,3.6333333333333333,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5333333333333333,0.7905881024251011,3.9,3.7666666666666666,30.0,
Sub,A-01,0.5,0,0,30,0,0.7333333333333333,0.2993591649324481,4.033333333333333,4.5,30.0,
Sub,A-02,0.5,0,0,30,0,0.7,0.223698519670526,3.9,3.933333333333333,30.0,
Sub,B-01,0.5,0,0,30,0,0.9333333333333333,0.25497064828994387,3.2666666666666666,2.6666666666666665,30.0,
Sub,B-02,0.5,0,0,26,4,0.7307692307692307,-0.008275967021457387,2.769230769230769,2.8846153846153846,26.0,
Sub,B-03,0.5,0,0,30,0,0.8666666666666667,0.42113253787760774,3.1,2.3,30.0,
Sub,C-01,0.8125,10,0,14,6,0.5714285714285714,0.1685714285714287,4.642857142857143,4.5,14.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.9259259259259259,0.10531620055429591,4.2592592592592595,3.6296296296296298,27.0,
Sub,C-04,0.5,0,0,30,0,0.8666666666666667,0.10354521106448489,4.133333333333334,3.933333333333333,30.0,
Sub,C-05,0.5,0,0,30,0,0.7666666666666667,0.08400184672206834,3.466666666666667,2.966666666666667,30.0,
Sub,C-06,0.5,0,0,30,0,0.8333333333333334,0.20420261222697833,3.4,2.8333333333333335,30.0,
Sub,D-01,0.5,0,0,30,0,0.8,0.38963234919178,3.3,3.6333333333333333,30.0,
Sub,L-01,0.5,0,0,30,0,0.5333333333333333,0.7905881024251011,3.9,3.7666666666666666,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,11,0,337,12,0.7804154302670623,0.49113099625137135,3.6409495548961424,3.4183976261127595,,MAEm: 0.7718 | Global Avg Recall N/A: 0.7391 | Global Alpha: 0.4911
