Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5666666666666667,0.3293144624539974,3.966666666666667,4.266666666666667,30.0,
Main,Crit_B,0.5,0,0,30,0,0.5222222223333333,0.6393256305694004,3.1000000000666668,2.8555555555555547,30.0,
Main,Crit_C,0.5,0,0,30,0,0.3461111111222222,0.6795385676857524,3.845000000033333,3.666666666666666,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7,0.4700925925925926,3.3,3.6666666666666665,30.0,
Main,Crit_L,0.5,0,0,30,0,0.6333333333333333,0.7631353145648702,3.9,3.6666666666666665,30.0,
Sub,A-01,0.5,0,0,30,0,0.7,0.3057910997173471,4.033333333333333,4.4,30.0,
Sub,A-02,0.5,0,0,30,0,0.7,0.2625079735763787,3.9,4.133333333333334,30.0,
Sub,B-01,0.5,0,0,30,0,0.8333333333333334,0.351855072463768,3.2666666666666666,2.6333333333333333,30.0,
Sub,B-02,0.3942307692307692,1,12,14,3,0.7857142857142857,-0.04591836734693877,2.642857142857143,3.0,14.0,
Sub,B-03,0.5,0,0,30,0,0.6333333333333333,0.6912543533085145,3.1,3.066666666666667,30.0,
Sub,C-01,0.8348214285714286,13,2,12,3,0.5833333333333334,0.21099624060150368,4.75,4.333333333333333,12.0,
Sub,C-02,0.7962962962962963,2,2,25,1,0.68,0.35683207176899356,4.28,3.76,25.0,
Sub,C-04,0.5,0,0,30,0,0.8333333333333334,0.18612958388751666,4.133333333333334,4.1,30.0,
Sub,C-05,0.5,0,0,30,0,0.5666666666666667,0.41326309385542837,3.466666666666667,3.2333333333333334,30.0,
Sub,C-06,0.5,0,0,30,0,0.6333333333333333,0.3476160822635245,3.4,3.5,30.0,
Sub,D-01,0.5,0,0,30,0,0.7,0.4700925925925926,3.3,3.6666666666666665,30.0,
Sub,L-01,0.5,0,0,30,0,0.6333333333333333,0.7631353145648702,3.9,3.6666666666666665,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,16,16,321,7,0.6915887850467289,0.5306362379919789,3.663551401869159,3.6137071651090342,,MAEm: 0.6902 | Global Avg Recall N/A: 0.8241 | Global Alpha: 0.5306
