Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.55,0.47931082897085664,3.966666666666667,4.116666666666666,30.0,
Main,Crit_B,0.5,0,0,30,0,0.42777777791111105,0.6182707022615201,3.1000000000666668,3.027777777777778,30.0,
Main,Crit_C,0.5,0,0,30,0,0.38166666667777777,0.6690675944891833,3.845000000033333,3.6444444444444444,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7666666666666667,0.30064905464905467,3.3,3.8,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.793636090941062,3.9,3.7333333333333334,30.0,
Sub,A-01,0.5,0,0,30,0,0.7,0.27151933231136094,4.033333333333333,4.2,30.0,
Sub,A-02,0.5,0,0,30,0,0.8,0.1457161981258367,3.9,4.033333333333333,30.0,
Sub,B-01,0.5,0,0,30,0,0.7666666666666667,0.24681966048251902,3.2666666666666666,2.7666666666666666,30.0,
Sub,B-02,0.75,2,0,26,2,0.6153846153846154,0.19766653691797653,2.769230769230769,3.076923076923077,26.0,
Sub,B-03,0.5,0,0,30,0,0.8,0.47093896713615013,3.1,3.1666666666666665,30.0,
Sub,C-01,0.7321428571428572,12,4,10,4,0.6,0.19325396825396823,4.5,4.5,10.0,
Sub,C-02,0.6666666666666666,1,0,27,2,0.6666666666666666,0.3672027290448344,4.2592592592592595,4.111111111111111,27.0,
Sub,C-04,0.5,0,0,30,0,0.8666666666666667,0.1988589759851176,4.133333333333334,3.8666666666666667,30.0,
Sub,C-05,0.5,0,0,30,0,0.6333333333333333,0.35793379979089834,3.466666666666667,3.1,30.0,
Sub,C-06,0.5,0,0,30,0,0.6,0.3642202633583632,3.4,3.3333333333333335,30.0,
Sub,D-01,0.5,0,0,30,0,0.7666666666666667,0.30064905464905467,3.3,3.8,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.793636090941062,3.9,3.7333333333333334,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,15,4,333,8,0.7057057057057057,0.5130039523003727,3.6246246246246248,3.5915915915915915,,MAEm: 0.6985 | Global Avg Recall N/A: 0.8202 | Global Alpha: 0.5130
