Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5666666666666667,0.4123860990687218,3.966666666666667,4.033333333333333,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6000000000666666,0.48323723927420725,3.1000000000666668,2.677777777777778,30.0,
Main,Crit_C,0.5,0,0,30,0,0.5194444444555555,0.3790457030558738,3.845000000033333,3.4988888888888883,30.0,
Main,Crit_D,0.5,0,0,30,0,0.8,0.3614440525481778,3.3,3.7,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.7548759376803231,3.9,3.6,30.0,
Sub,A-01,0.5,0,0,30,0,0.6333333333333333,0.37822841784858496,4.033333333333333,4.133333333333334,30.0,
Sub,A-02,0.5,0,0,30,0,0.7,0.16361371611991415,3.9,3.933333333333333,30.0,
Sub,B-01,0.5,0,0,30,0,0.8333333333333334,0.40292740170076613,3.2666666666666666,2.6333333333333333,30.0,
Sub,B-02,0.625,1,0,26,3,0.6923076923076923,-0.02039996556967849,2.769230769230769,3.0,26.0,
Sub,B-03,0.5,0,0,30,0,0.8,0.48095781528420123,3.1,2.3666666666666667,30.0,
Sub,C-01,0.78125,9,0,14,7,0.9285714285714286,-0.023459383753501317,4.642857142857143,4.142857142857143,14.0,
Sub,C-02,0.6481481481481481,1,1,26,2,0.8461538461538461,0.15047966274232094,4.3076923076923075,3.769230769230769,26.0,
Sub,C-04,0.5,0,0,30,0,0.8,0.14637756604408547,4.133333333333334,3.933333333333333,30.0,
Sub,C-05,0.5,0,0,30,0,0.8333333333333334,-0.12205166070780882,3.466666666666667,2.966666666666667,30.0,
Sub,C-06,0.5,0,0,30,0,0.7333333333333333,0.2569822979291917,3.4,2.933333333333333,30.0,
Sub,D-01,0.5,0,0,30,0,0.8,0.3614440525481778,3.3,3.7,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.7548759376803231,3.9,3.6,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,11,1,336,12,0.7559523809523809,0.4841527366709314,3.642857142857143,3.392857142857143,,MAEm: 0.7639 | Global Avg Recall N/A: 0.7376 | Global Alpha: 0.4842
