Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.5166666666666667,0.42345522461417473,3.966666666666667,4.183333333333334,30.0,
Main,Crit_B,0.5,0,0,30,0,0.49444444451111097,0.4871859149148269,3.1000000000666668,3.016666666666666,30.0,
Main,Crit_C,0.5,0,0,30,0,0.41833333332222217,0.6489629422197329,3.845000000033333,3.6055555555555556,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7666666666666667,0.3622051610802449,3.3,3.8666666666666667,30.0,
Main,Crit_L,0.5,0,0,30,0,0.36666666666666664,0.8640700942479185,3.9,3.8666666666666667,30.0,
Sub,A-01,0.5,0,0,30,0,0.6333333333333333,0.35909391206685826,4.033333333333333,4.333333333333333,30.0,
Sub,A-02,0.5,0,0,30,0,0.6666666666666666,0.19619343604663975,3.9,4.033333333333333,30.0,
Sub,B-01,0.5,0,0,30,0,0.7,0.3040056485499759,3.2666666666666666,2.9,30.0,
Sub,B-02,0.7115384615384616,2,2,24,2,0.7083333333333334,-0.04534831416725327,2.7083333333333335,3.0,24.0,
Sub,B-03,0.5,0,0,30,0,0.8,0.4909143200374646,3.1,3.1,30.0,
Sub,C-01,0.8660714285714286,14,2,12,2,0.6666666666666666,0.10912698412698407,4.75,4.416666666666667,12.0,
Sub,C-02,0.6481481481481481,1,1,26,2,0.6923076923076923,0.37010033934443454,4.3076923076923075,3.923076923076923,26.0,
Sub,C-04,0.5,0,0,30,0,0.8666666666666667,0.09223068755268027,4.133333333333334,3.8666666666666667,30.0,
Sub,C-05,0.5,0,0,30,0,0.7,0.21024897587119584,3.466666666666667,3.1666666666666665,30.0,
Sub,C-06,0.5,0,0,30,0,0.5666666666666667,0.4575390030441401,3.4,3.3666666666666667,30.0,
Sub,D-01,0.5,0,0,30,0,0.7666666666666667,0.3622051610802449,3.3,3.8666666666666667,30.0,
Sub,L-01,0.5,0,0,30,0,0.36666666666666664,0.8640700942479185,3.9,3.8666666666666667,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,17,5,332,6,0.677710843373494,0.5221011413016063,3.641566265060241,3.6204819277108435,,MAEm: 0.6778 | Global Avg Recall N/A: 0.8621 | Global Alpha: 0.5221
