Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,BOARD,LEV,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score
300979.SZ,Huali Industrial Group Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"7,134,117,980.60",22.69,0.3846,0.0306354,100,59.95404523,72.98,28.8,45.62,92.81,28.21,94.98,36.39,42.9,89.09,46.79,67.99,87.56,58.23
3389.HK,Hengdeli Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,"66,974,663.57",18.02,0.375,0.0252645,100,23.09557384,63.66,0,29.83,20.29,4.81,9.54,72.15,35.49,58.6,23.62,11.89,16.55,3.96
383220.KS,F&F Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,553,213,808.51",21.16,0.5,0.2289126,100,55.03790269,96.58,28.8,66.16,39.59,58.33,38.25,12.97,81.79,7.25,59.5,97.26,94.81,67.99
600177.SS,Youngor Fashion Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"4,278,171,662.57",22.18,0.3333,0.5214495,100,50.88080401,78.57,28.8,56.87,55.06,4.81,44.85,36.39,69.44,84.94,47.55,71.65,61.29,94.21
600398.SS,HLA Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,"3,537,743,978.26",21.99,0.2727,0.1756946,100,43.24525161,9.63,28.8,25.54,18.01,4.81,2.45,36.39,33.64,41.04,24.71,30.79,61.29,30.79
600612.SS,Lao Feng Xiang Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"2,322,603,974.35",21.57,0.3333,0.4207724,100,5.122901207,21.43,0,5.75,11.36,0,9.75,0,0.31,10.25,1.89,5.79,21.07,1.52
601718.SS,Jihua Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,778,758,649.70",21.3,0.3846,0.2285035,100,48.89592994,42.55,80,56.02,72.81,0,84.44,64.56,41.67,60.04,34.61,61.89,33.8,5.79
603225.SS,Xinfengming Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,"3,612,146,247.07",22.01,0.375,1.5716387,100,30.53707619,27.64,28.8,24.37,52.41,0,52.41,26.58,17.59,74.52,13.05,18.6,19.25,6.4
7936.T,Asics Corp,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"15,013,792,127.55",23.43,0.5833,0.4991743,100,68.41216111,75.47,28.8,64.24,53.48,86.54,68.38,75.95,91.67,9.57,73.75,55.18,44.88,78.96
8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"567,852,065.25",20.16,0.2857,0.6178177,100,30.6353563,61.56,80.8,52.95,30.23,29.03,8.87,11.95,18.94,84.95,23.5,33.64,54.91,15.12
9904.TW,Pou Chen Corp,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"2,414,254,573.72",21.6,0.3333,0.3332657,100,71.75140592,89.75,28.8,61.18,65.2,86.54,85.31,68.67,73.15,1.32,78.88,78.96,60.53,80.79
9910.TW,Feng Tay Enterprises Co Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"3,126,096,991.73",21.86,0.3125,0.2427268,100,64.65628079,89.13,28.8,63.52,63.44,58.33,67.32,48.1,79.94,52.41,65.29,85.06,60.53,69.82
9938.TW,Taiwan Paiho Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"408,885,773.99",19.83,0.3846,0.7068711,100,58.11474553,83.23,29.49,53.67,60.01,87.91,67.18,40.71,56.73,72.91,58.14,41.05,4.85,61.42
ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Europe,2025,"30,429,000,000.00",24.14,0.6364,0.9522754,21.42857143,83.41701961,61.8,80,77.46,83.56,86.54,87.45,68.67,86.11,94,85.06,94.21,48.46,91.46
AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"756,293,405.35",20.44,0.3333,0.2696603,100,77.91295965,82.92,80,78.93,73.44,58.33,87.68,96.84,75,43.31,79.19,86.89,47.43,75.91
ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,"1,185,412,194.25",20.89,0,0.399686,100,60.91150893,41.3,28.8,52.52,48.71,67.95,47.5,59.49,84.26,41.79,70.14,70.43,65.15,88.11
BCU.MI,Brunello Cucinelli SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,Europe,2025,"6,707,371,603.47",22.63,0.4286,1.9013113,52.38095238,40.44519831,57.45,0,43.89,21.29,41.67,16.14,12.97,78.09,50.79,49.92,61.28,2.82,97.26
BIRK.N,Birkenstock Holding PLC,Textiles & Apparel,Footwear,Footwear (NEC),Europe,2025,"6,404,250,150.34",22.58,0.4286,0.4809239,100,32.1146191,1.25,29.6,14.55,7.11,86.45,4.17,52.52,9.01,6.94,51.55,13.27,22.06,53.7
BORG.ST,Bjorn Borg AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"146,261,510.96",18.8,1,0.1672246,100,65.9017826,54.35,80,61.4,82.56,58.33,87.88,85.13,47.84,97.39,61.04,76.52,33.7,7.62
BOSSn.DE,Hugo Boss AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"2,544,960,000.00",21.66,0.8333,0.8607693,100,84.4636839,58.7,80,81.42,80.9,86.54,78.73,85.13,99.07,80.55,86.73,80.79,92.28,98.48
CALN.S,Calida Holding AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"97,444,254.62",18.39,0.7143,0.3998934,100,52.56206048,51.86,80,70.3,35.65,58.33,16.83,53.16,73.77,90.98,54.17,50.91,46.8,53.96
COA.L,Coats Group PLC,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,"1,858,547,387.10",21.34,0.7273,1.7921289,100,78.95060134,59.32,80,73.62,83.38,86.54,87.15,53.16,77.47,64.38,77.97,89.33,92.97,81.4
COLM.OQ,Columbia Sportswear Co,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"2,527,673,498.09",21.65,0.8889,0,100,58.59836445,21.22,19.07,27.52,75.54,43.37,80.27,7.33,54.68,85.76,40.55,67.32,36.55,46.74
CROX.OQ,Crocs Inc,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,"3,655,277,538.72",22.02,0.8889,0.7350414,11.9047619,65.08426154,50,28.8,45.71,46.85,86.54,49.01,93.67,59.57,45.3,79.02,53.35,38.37,86.28
DESA.IS,Desa Deri Sanayi ve Ticaret AS,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"108,890,375.44",18.51,0.4,0.1079523,100,13.58453841,17.7,0,5,12.64,47.76,17.25,0,0.93,1.06,16.84,8.84,6.99,3.35
DIOR.PA,Christian Dior SE,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"107,492,225,778.00",25.4,0.4444,0.6093759,16.66666667,77.55354933,86.02,80,87.25,54.06,86.54,50.26,93.67,95.37,62.24,86.27,95.43,60.75,61.28
DLTH.OQ,Duluth Holdings Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"65,041,145.84",17.99,0.7778,0.3248905,100,28.56769643,9.18,0,15.52,50.85,16.34,58.64,14.1,35.58,34.4,18.81,7.1,36.55,47.53
ECNL.MI,Aquafil SpA,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Europe,2025,"101,855,710.75",18.44,0.5,2.1737332,100,62.52028626,50.62,28.8,39.97,55.94,58.33,72.05,91.77,43.52,4.33,71.76,62.5,52.82,79.57
FIGS.N,Figs Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"1,604,075,999.80",21.2,0.7778,0.0129928,100,30.46709532,11.49,0,13.6,52.23,16.03,66.34,12.97,28.7,14.41,22.61,14.33,38.37,59.45
FOSL.OQ,Fossil Group Inc,Textiles & Apparel,Apparel & Accessories,Watches,Americas,2025,"174,925,113.96",18.98,0.7778,1.2056698,100,53.90118719,37.66,29.49,43.56,65.79,87.91,63.94,14.1,61.86,64.36,51.86,51.54,77.14,47.53
GABR.CO,Gabriel Holding A/S,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Europe,2025,"60,757,136.56",17.92,0.4286,1.3478856,100,37.9723966,5.9,28.8,35.7,17.56,86.54,13.28,59.49,63.89,39.84,48.92,22.87,5.56,14.33
GEO.MI,Geox SpA,Textiles & Apparel,Footwear,Footwear (NEC),Europe,2025,"115,095,278.21",18.56,0.3333,4.8984668,100,74.84451592,67.41,29.49,59.66,66.22,87.91,64.68,89.74,84.29,92.46,82.92,78.7,34.55,71.91
GIII.OQ,G-III Apparel Group Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"1,040,278,665.30",20.76,0.7857,0.0036672,100,31.20456257,29.69,29.6,28.9,55.74,30.97,67.84,11.95,27.64,27.43,24.61,20.06,37.69,39.2
GIL.TO,Gildan Activewear Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"9,853,769,482.31",23.01,0.84,1.1349939,80.95238095,67.85094533,87.89,80,73.64,29.63,86.54,7.27,85.13,57.1,68.85,85.62,86.28,82.57,83.84
GRND3.SA,Grendene SA,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,"645,069,931.28",20.28,0.2857,0.021981,100,35.92011937,56.83,28.8,48.42,16.55,28.21,9.64,12.97,62.04,46.07,42.26,68.6,6.82,64.94
HAPD.IC,Hampidjan hf,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,"441,287,507.30",19.91,0,0.6538118,100,27.49558424,46.89,28.8,25.34,13.49,86.54,3.57,0,6.48,25,35.71,2.74,45.83,55.49
