Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
HISA.BO,Hisar Spinning Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0.2852914,
HMSD.NS,Himatsingka Seide Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,1.2629908,
HNDA.BO,Hindustan Appliances Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,2.4653308,
HNI.HNO,Huunghi Garment JSC,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"20,787,928.16",,,,,,,,,,,,,,0,
HPCO.BO,H P Cotton Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,2.4720599,
HPMM.PK,Hemp Naturals Inc,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Americas,2025,,,,,,,,,,,,,,,,,1.3937539,
HRMS.PA,Hermes International SCA,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Europe,2025,75.14,76.85,"224,018,292,264.00",100,55.59749421,92.19,29.6,71.89,40.95,57.42,38.89,41.98,11.95,99.69,14.71,57.12,0.1254183,84.88
HRTA.JK,Hartadinata Abadi Tbk PT,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"502,353,028.02",,,,,,,,,,,,,,1.4573082,
HRTX.PSX,Hira Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,,
HSM.HNO,Hanoi Textile and Garment Joint Stock Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"4,580,139.70",,,,,,,,,,,,,,1.6224839,
HTG.HM,Hoa Tho Textile Garment Joint Stock Corp,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"50,477,616.26",,,,,,,,,,,,,,1.2271325,
HUG.HNO,Hung Yen Garment Corp JSC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"18,321,539.31",,,,,,,,,,,,,,,
