Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
000017.SZ,Shenzhen China Bicycle Company Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"471,847,816.02",,,,,,,,,,,,,,0.062729,
000026.SZ,FIYTA Precision Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,"761,143,905.45",,,,,,,,,,,,,,0.0656165,
000050.KS,Kyungbang Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"151,890,305.48",,,,,,,,,,,,,,0.291203,
000677.SZ,CHTC Helon Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1358749,
000680.KS,LS Networks Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"158,592,788.72",,,,,,,,,,,,,,5.6813775,
000726.SZ,Lu Thai Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"634,698,045.74",,,,,,,,,,,,,,0.2916819,
000850.SZ,Anhui Huamao Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"628,469,763.25",,,,,,,,,,,,,,0.4003513,
000936.SZ,Jiangsu Huaxicun Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,,,,,,,,,,,,,,,0.1908213,
000949.SZ,Xinxiang Chemical Fiber Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"1,138,610,270.15",,,,,,,,,,,,,,0.711974,
000950.KS,Chonbang Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"35,152,836.91",,,,,,,,,,,,,,0.1169369,
000955.SZ,Xinlong Holding (Group) Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"407,728,070.98",,,,,,,,,,,,,,0.1091921,
001070.KS,Taihan Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"20,140,608.01",,,,,,,,,,,,,,0.2221241,
001209.SZ,Guangdong Hongxing Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"333,893,547.08",,,,,,,,,,,,,,0.1073652,
001222.SZ,Wenzhou Yuanfei pet toy products Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"549,891,653.78",,,,,,,,,,,,,,0.0041041,
001234.SZ,Jiangsu Times Textile Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,"361,277,237.67",,,,,,,,,,,,,,0.145556,
001312.SZ,Hangzhou Fuen Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.5213629,
001390.SZ,Anhui Guqi Down & Feather Textile Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"595,615,043.40",,,,,,,,,,,,,,0.502282,
001460.KS,BYC Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"186,823,907.91",,,,,,,,,,,,,,0.0503882,
001530.KS,DI Dong Il Corp,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"240,947,370.41",,,,,,,,,,,,,,0.5692703,
002003.SZ,Zhejiang Weixing Industrial Development Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"1,534,357,718.74",,,,,,,,,,,,,,0.188183,
002029.SZ,Fujian Septwolves Industry Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"946,800,194.03",,,,,,,,,,,,,,0.4417294,
002042.SZ,Huafu Fashion Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,1.5025696,
002070.KS,Vivien Corp,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,"16,773,742.05",,,,,,,,,,,,,,0.7062883,
002083.SZ,Sunvim Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"1,371,546,604.86",,,,,,,,,,,,,,0.5248485,
002091.SZ,Jiangsu Guotai International Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,"1,789,555,793.58",,,,,,,,,,,,,,0.5705347,
002098.SZ,Fujian SBS Zipper Science & Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"428,029,522.07",,,,,,,,,,,,,,0.1927365,
002144.SZ,Hongda High-Tech Holding Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"273,105,870.76",,,,,,,,,,,,,,0.0306651,
002154.SZ,Baoxiniao Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"684,060,572.56",,,,,,,,,,,,,,0.1381163,
002170.KS,SYTS Corp,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"99,087,103.44",,,,,,,,,,,,,,0.0012517,
002193.SZ,Shandong Ruyi Woolen Garment Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"169,519,775.82",,,,,,,,,,,,,,1.7031687,
002254.SZ,Tayho Advanced Materials Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"1,045,578,707.18",,,,,,,,,,,,,,0.5796234,
002269.SZ,Shanghai Metersbonwe Fashion&Accessories Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,2.7083365,
002327.SZ,Shenzhen Fuanna Bedding and Furnishing Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"684,814,552.79",,,,,,,,,,,,,,0.1023794,
002345.SZ,Guangdong CHJ Industry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,352,237,158.99",,,,,,,,,,,,,,0.1209474,
002394.SZ,Jiangsu Lianfa Textile Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,,,,,,,,,,,,,,,0.2669051,
002404.SZ,Zhejiang Jiaxin Silk Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"477,997,058.77",,,,,,,,,,,,,,0.3411941,
002486.SZ,Shanghai Challenge Textile Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0327265,
002494.SZ,Huasi Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"247,609,393.88",,,,,,,,,,,,,,0.1987504,
002563.SZ,Zhejiang Semir Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,61.29,18.6,"1,777,831,602.91",100,47.87530445,36.34,28.8,45.53,62.74,4.81,30,53.65,36.39,68.83,93.98,38.35,0.2776393,87.5
002569.SZ,Zhejiang Busen Garments Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"218,293,704.80",,,,,,,,,,,,,,0.7480871,
002574.SZ,Zhejiang Ming Jewelry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.5326546,
002612.SZ,Lancy Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"1,100,610,092.71",,,,,,,,,,,,,,0.7552951,
002634.SZ,Zhejiang Bangjie Holding Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"315,990,302.20",,,,,,,,,,,,,,5.5347439,
002656.SZ,Modern Avenue Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"244,638,768.73",,,,,,,,,,,,,,0.1491394,
002674.SZ,Xingye Leather Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"537,603,587.44",,,,,,,,,,,,,,0.4594557,
002687.SZ,Zhejiang Giuseppe Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"296,229,257.09",,,,,,,,,,,,,,0.055237,
002721.SZ,Beijing Kingee Culture Development Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,019,928,988.95",,,,,,,,,,,,,,0.0093453,
002731.SZ,Shenyang Cuihua Gold and Silver Jewelry Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,1.2836952,
002762.SZ,Jinfa Labi Maternity & Baby Articles Co Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,"296,552,493.11",,,,,,,,,,,,,,0.0120436,
002763.SZ,Shenzhen Huijie Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,"360,346,039.57",,,,,,,,,,,,,,0.0595576,
002832.SZ,BIEM.L.FDLKK Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"1,039,053,230.04",,,,,,,,,,,,,,0.1621474,
002867.SZ,Chow Tai Seng Jewellery Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,61.29,26.52,"1,609,703,471.60",100,38.91688231,7.14,0,8.93,73.13,16.03,43.75,87.84,36.39,19.14,31.99,31.1,0.0941906,44.82
002998.SZ,Elite Color Environmental Resources Science & Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"323,655,330.52",,,,,,,,,,,,,,0.3094436,
003016.SZ,Xin Hee Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"496,125,223.30",,,,,,,,,,,,,,0.1544305,
003041.SZ,Zhejiang Truelove Vogue Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"952,127,561.58",,,,,,,,,,,,,,0.3720429,
003200.KS,Ilshin Spinning Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"168,793,282.52",,,,,,,,,,,,,,0.1245051,
003610.KS,Pangrim Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,"136,115,340.62",,,,,,,,,,,,,,0.0833157,
003830.KS,Daehan Synthetic Fiber Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"92,127,092.70",,,,,,,,,,,,,,0.0014792,
004060.KS,SG Corp,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"40,618,645.76",,,,,,,,,,,,,,0.067332,
004700.KS,Chokwang Leather Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"257,791,341.23",,,,,,,,,,,,,,6.62e-05,
004830.KS,Duksung Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"51,326,977.52",,,,,,,,,,,,,,0.2845278,
005320.KS,OnTide Corp,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,"18,455,603.19",,,,,,,,,,,,,,0.2763691,
005800.KS,Shinyoung Wacoal Inc,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,"87,899,849.82",,,,,,,,,,,,,,0.0121258,
006060.KS,Hwaseung Industries Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"118,536,587.78",,,,,,,,,,,,,,1.4326391,
007700.KS,F&F Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"432,720,317.53",,,,,,,,,,,,,,0.0756515,
007980.KS,TP Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"57,129,749.84",,,,,,,,,,,,,,1.418537,
008290.KQ,Wonpung Mulsan Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"11,149,275.48",,,,,,,,,,,,,,0.8643445,
008370.KQ,WonpoongCorp,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"34,414,123.02",,,,,,,,,,,,,,0,
008500.KS,Iljeong Industrial Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"10,903,132.89",,,,,,,,,,,,,,2.9730684,
008600.KS,Willbes & Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"12,775,233.07",,,,,,,,,,,,,,1.9340405,
009270.KS,Shinwon Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"100,317,567.93",,,,,,,,,,,,,,1.1344112,
009970.KS,Youngone Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"1,530,169,988.61",,,,,,,,,,,,,,0.0790871,
011000.KS,Gene One Life Science Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"99,038,604.40",,,,,,,,,,,,,,0.3168691,
011080.KQ,Hyungji Innovation & Creative Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"18,360,717.79",,,,,,,,,,,,,,0.7783015,
011300.KS,Woosung Materials Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"32,239,525.87",,,,,,,,,,,,,,2.0277979,
011330.KS,Uni Chem Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"69,778,685.20",,,,,,,,,,,,,,0.4495895,
0116.HK,Chow Sang Sang Holdings International Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,20,50.91,"896,580,931.81",100,42.69878168,52.48,0,42.81,46.73,37.18,58.33,51.89,12.97,78.7,47.35,41.13,0.4808737,64.33
0122.HK,Crocodile Garments Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"16,648,600.22",,,,,,,,,,,,,,,
0130.HK,Moiselle International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.311029,
013990.KQ,Agabang & Company,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,"87,472,492.09",,,,,,,,,,,,,,0.0265638,
014990.KS,In The F Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"38,680,850.19",,,,,,,,,,,,,,1.3682577,
016090.KS,Daehyun Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"44,559,557.43",,,,,,,,,,,,,,0.010421,
016450.KS,Hansae Yes24 Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"98,495,185.25",,,,,,,,,,,,,,1.1452565,
020000.KS,Handsome Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,26.23,25.3,"212,500,966.10",100,42.49428566,92.24,28.8,47.5,32.45,20.83,44.44,33.75,48.1,34.26,32.25,46.11,0.0619919,83.84
0210.HK,Daphne International Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,16.55,7.01,"87,671,662.83",100,46.26846902,74.84,0,46.42,58.33,23.72,42.86,56.32,75.95,72.53,92.88,37.05,0.0091572,35.06
0213.HK,National Electronics Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,,,,,,,,,,,,,,,2.1966985,
024890.KS,Daewon Chemical Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"17,701,689.18",,,,,,,,,,,,,,1.8160794,
0256.HK,Citychamp Watch & Jewellery Group Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,"95,225,724.74",,,,,,,,,,,,,,0.2008361,
026040.KQ,J.Estina Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"30,674,325.12",,,,,,,,,,,,,,0.0347546,
0264.HK,China International Development Corporation Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"121,242,616.70",,,,,,,,,,,,,,,
0294.HK,Yangtzekiang Garment Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,6.66e-05,
0311.HK,Luen Thai Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"24,890,699.34",,,,,,,,,,,,,,1.0607203,
032080.KQ,AzTech WB Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"16,555,567.69",,,,,,,,,,,,,,0.0773598,
0321.HK,Texwinca Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,100,47.91357875,,,,,,,,,,,,0.2649401,
0330.HK,Esprit Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,22.73,22.53,"35,616,910.76",100,64.31056104,73.73,79.91,70.22,40.78,69.28,55.56,41.29,97.12,58.01,51.14,71.2,0.7062147,81.17
0333.HK,Top Form International Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3121579,
033340.KQ,Good People Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"96,295,046.88",,,,,,,,,,,,,,0.2329801,
035150.KS,Baiksan Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"158,929,322.98",,,,,,,,,,,,,,0.4720139,
036620.KQ,Gamsung Corporation Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"309,103,674.50",,,,,,,,,,,,,,0.0826912,
0417.HK,Tse Sui Luen Jewellery (International) Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,2.2819955,
0420.HK,Fountain Set Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"80,416,183.44",,,,,,,,,,,,,,0.0528585,
0442.HK,Domaine Power Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0216363,
0458.HK,Tristate Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"53,856,963.34",,,,,,,,,,,,,,0.1854349,
047770.KQ,Codes Combine Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"63,503,217.90",,,,,,,,,,,,,,0.1004868,
0483.HK,Bauhaus International (Holdings) Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.2697015,
0513.HK,Continental Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.4971241,
0518.HK,Tungtex Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.2018162,
0528.HK,Kingdom Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,"67,513,582.89",,,,,,,,,,,,,,0.6943124,
0533.HK,Goldlion Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"101,218,424.79",,,,,,,,,,,,,,0.0060828,
0540.HK,Speedy Global Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"11,818,881.02",,,,,,,,,,,,,,0.8831139,
0551.HK,Yue Yuen Industrial (Holdings) Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,72.92,47.87,"2,803,538,258.61",100,64.46953525,68.63,0,50.01,74.49,58.33,40,89.77,59.49,86.73,24.62,65.91,0.1981961,91.16
0608.HK,High Fashion International Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"55,170,353.64",,,,,,,,,,,,,,0.5195186,
064090.KQ,InkredibleBuzz Inc,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"38,541,718.37",,,,,,,,,,,,,,0.01676,
0643.HK,Carry Wealth Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"21,855,840.38",,,,,,,,,,,,,,0.0117764,
064800.KQ,PonyLink Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"63,287,777.52",,,,,,,,,,,,,,0.2080391,
065060.KQ,GNCO Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"10,988,740.31",,,,,,,,,,,,,,0.7102372,
0676.HK,Pegasus International Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"79,938,491.62",,,,,,,,,,,,,,0.0116146,
069640.KS,HansaeMK Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"16,523,070.90",,,,,,,,,,,,,,3.2960382,
0707.HK,Asia Television Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
0738.HK,Le Saunda Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0160279,
078860.KQ,Stageone Enter Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"37,140,442.31",,,,,,,,,,,,,,0.1273334,
079980.KS,Huvis Corp,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"54,524,543.21",,,,,,,,,,,,,,1.4663441,
0844.HK,Greatime International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"27,582,802.33",,,,,,,,,,,,,,0.6994826,
084680.KS,E-World Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"121,793,550.12",,,,,,,,,,,,,,0.6027563,
084870.KS,TBH Global Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"14,938,091.73",,,,,,,,,,,,,,0.3835089,
088790.KS,Jindo Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"14,736,091.96",,,,,,,,,,,,,,0.1877382,
0907.HK,Elegance Optical International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Fashion Eyewear,Asia,2025,,,,,,,,,,,,,,,,,,
093050.KS,LF Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,4.19,60.64,"315,692,221.85",100,31.60618969,62.22,39.39,42.95,28.15,2.24,50,32.41,26.2,28.77,29.9,26.08,0.4680776,19.36
093240.KS,Hyungji Elite Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.6427969,
0933.HK,Viva Goods Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"686,411,133.56",,,,,,,,,,,,,,0.2702394,
0986.HK,Dufu Liquor Group Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.0925496,
098660.KQ,STO Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"13,163,808.29",,,,,,,,,,,,,,1.3762541,
1023.HK,Sitoy Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Asia,2025,,,,,,,,,,,,,,,,,0.0109166,
1025.HK,KNT Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.7959086,
1027.HK,Asia Strategy Digit Technology Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"178,287,234.16",,,,,,,,,,,,,,0.4483136,
104480.KQ,TK Chemical Corp,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"84,629,044.19",,,,,,,,,,,,,,0.2267625,
105630.KS,Hansae Co Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,"314,900,472.09",,,,,,,,,,,,,,0.7573451,
1058.HK,Namyue Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"21,190,766.90",,,,,,,,,,,,,,0.4574786,
109670.KQ,C Site Co Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,"19,902,408.69",,,,,,,,,,,,,,0.3714063,
1100.HK,Mainland Headwear Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"59,631,264.57",,,,,,,,,,,,,,0.2202785,
110790.KQ,Creas F&C Co Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"56,170,305.41",,,,,,,,,,,,,,0.6722119,
111110.KS,Hojeon Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"42,844,647.93",,,,,,,,,,,,,,0.8947875,
111770.KS,Youngone Corp,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,60.11,49.09,"2,145,512,855.86",100,51.53352463,79.19,28.8,49.99,22.4,47.76,58.33,19.25,68.67,50.31,7.75,67.27,0.1137181,97.87
1121.HK,Golden Solar New Energy Technology Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"267,372,170.83",,,,,,,,,,,,,,0.3970987,
1146.HK,Huicheng International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"11,308,728.23",,,,,,,,,,,,,,0.009589,
1170.HK,Kingmaker Footwear Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0040855,
1173.HK,Veeko International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,,,,,,,,,,,,,,,8.1889703,
120110.KS,Kolon Industries Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"772,177,909.97",,,,,,,,,,,,,,0.6746707,
