Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD
ECNL.MI_2022,2022,262931832.4,0,0,100,50.65974734,0.4,0.0765,2.185323,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,574590980.8,0.16717721,20114285.18,0.00585225,0.16,6.91331E+16,105172733
ECNL.MI_2021,2021,328022448.8,0,0,100,48.08348666,0.4,0.0044,3.3687321,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,1105019753,0.014822421,1443298.775,0.00001936,0.16,1.07599E+17,131208979.5
ECNL.MI_2020,2020,207690453.9,0,0,100,45.81505577,0.33,0.0629,2.3944188,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,497297927.4,0.150608943,13063729.55,0.00395641,0.1089,4.31353E+16,68537849.79
ECNL.MI_2019,2019,269783476.2,0,0,100,46.06344121,0.33,0.2235,1.5723902,ECNL.MI,Aquafil SpA,Textiles & Leather Goods,424204894.1,0.35142921,60296606.93,0.04995225,0.1089,7.27831E+16,89028547.15
ASIA.KL_2025,2025,25639460.47,0,0,100,15.95822492,0.33,0.1444,0.1975705,ASIA.KL,Asia Brands Bhd,Apparel & Accessories,5065601.025,0.02852918,3702338.092,0.02085136,0.1089,6.57382E+14,8461021.955
ASIA.KL_2023,2023,25489973.47,0,0,100,11.88357908,0.43,0.11043,0.1608097,ASIA.KL,Asia Brands Bhd,Apparel & Accessories,4099034.987,0.017758215,2814857.77,0.012194785,0.1849,6.49739E+14,10960688.59
7936.T_2024,2024,14471799622,0,0,100,66.12259519,0.67,0.188,0.6388605,7936.T,Asics Corp,Footwear,9245461142,0.120105774,2720698329,0.035344,0.4489,2.09433E+20,9696105747
7936.T_2023,2023,5388525845,0,0,100,70.00475591,0.63,0.126,0.8093487,7936.T,Asics Corp,Footwear,4361196388,0.101977936,678954256.5,0.015876,0.3969,2.90362E+19,3394771282
7936.T_2022,2022,3943158086,0,0,100,69.11985766,0.63,0.06807,0.7538915,7936.T,Asics Corp,Footwear,2972713364,0.051317394,268410770.9,0.004633525,0.3969,1.55485E+19,2484189594
7936.T_2021,2021,3716317672,0,0,100,71.23022305,0.47,-0.116,0.9702989,7936.T,Asics Corp,Footwear,3605938949,-0.112554672,-431092850,0.013456,0.2209,1.3811E+19,1746669306
7936.T_2020,2020,2963749680,0,0,100,69.07768415,0.25,0.045,0.5291256,7936.T,Asics Corp,Footwear,1568195828,0.023810652,133368735.6,0.002025,0.0625,8.78381E+18,740937420
7936.T_2019,2019,2828819471,1,1,40,59.39345324,0.28,-0.12331,0.343987,7936.T,Asics Corp,Footwear,973077123.4,-0.042417037,-348821729,0.015205356,0.0784,8.00222E+18,792069451.9
7936.T_2018,2018,2227061510,0,0,100,63.94150794,0.29,0.065,0.306445,7936.T,Asics Corp,Footwear,682471864.4,0.019918925,144758998.2,0.004225,0.0841,4.9598E+18,645847837.9
7936.T_2017,2017,2657116388,0,0,100,69.04272331,0.31,0.078,0.3375032,7936.T,Asics Corp,Footwear,896785283.7,0.02632525,207255078.3,0.006084,0.0961,7.06027E+18,823706080.3
BATA.NS_2025,2025,1148507727,1,0,83.92857143,62.81375532,0.42,0.1338,0.9184032,BATA.NS,Bata India Ltd,Footwear,1054793172,0.122882348,153670333.9,0.01790244,0.1764,1.31907E+18,482373245.3
BATA.NS_2024,2024,1995074666,0,0,100,65.09331729,0.36,0.1771,0.8889254,BATA.NS,Bata India Ltd,Footwear,1773472546,0.157428688,353327723.3,0.03136441,0.1296,3.98032E+18,718226879.8
BATA.NS_2023,2023,2311893694,1,0,71.42857143,67.21438375,0.5,0.19859,0.8666662,BATA.NS,Bata India Ltd,Footwear,2003640123,0.172111241,459118968.7,0.039437988,0.25,5.34485E+18,1155946847
BATA.NS_2022,2022,2394387349,0,0,100,63.16165681,0.43,0.05769,0.6029861,BATA.NS,Bata India Ltd,Footwear,1443782289,0.034786268,138132206.2,0.003328136,0.1849,5.73309E+18,1029586560
BATA.NS_2021,2021,2841658075,0,0,100,49.54349367,0.5,-0.0464,0.5871573,BATA.NS,Bata India Ltd,Footwear,1668500283,-0.027244099,-131852934.7,0.00215296,0.25,8.07502E+18,1420829038
BATA.NS_2020,2020,2276128265,0,0,100,44.10374481,0.55,0.181,0.6595362,BATA.NS,Bata India Ltd,Footwear,1501188987,0.119376052,411979216,0.032761,0.3025,5.18076E+18,1251870546
BORG.ST_2024,2024,113201015.9,0,0,100,67.40199303,1,0.21988,0.1221406,BORG.ST,Bjorn Borg AB,Apparel & Accessories,13826440,0.026856275,24890639.38,0.048347214,1,1.28145E+16,113201015.9
BORG.ST_2023,2023,100956754.9,0,0,100,60.01162205,1,0.15152,0.2513816,BORG.ST,Bjorn Borg AB,Apparel & Accessories,25378670.58,0.03808934,15296967.5,0.02295831,1,1.01923E+16,100956754.9
BORG.ST_2022,2022,69540000.8,0,0,100,64.22729667,1,0.27519,0.400994,BORG.ST,Bjorn Borg AB,Apparel & Accessories,27885123.08,0.110349539,19136712.82,0.075729536,1,4.83581E+15,69540000.8
3998.HK_2025,2025,5696663799,0,0,100,62.86762458,0.38,0.24039,0.1091276,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,621663248.4,0.026233184,1369421011,0.057787352,0.1444,3.2452E+19,2164732244
3998.HK_2024,2024,5595684523,0,0,100,62.38769091,0.38,0.23925,0.2328924,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,1303192398,0.055719507,1338767522,0.057240563,0.1444,3.13117E+19,2126360119
3998.HK_2023,2023,4442069799,0,0,100,58.99031036,0.38,0.1824,0.2509701,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,1114826702,0.045776946,810233531.3,0.03326976,0.1444,1.9732E+19,1687986524
3998.HK_2022,2022,4836628027,0,0,100,58.80350754,0.38,0.1773,0.2805939,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,1357128321,0.049749298,857534149.2,0.03143529,0.1444,2.3393E+19,1837918650
3998.HK_2021,2021,6029730471,0,0,100,53.87307079,0.38,0.1607,0.2589974,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,1561684515,0.041620882,968977686.7,0.02582449,0.1444,3.63576E+19,2291297579
3998.HK_2020,2020,4502138643,1,0,66.66666667,44.29332038,0.33,0.11964,0.3100033,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,1395677836,0.037088795,538635867.2,0.01431373,0.1089,2.02693E+19,1485705752
3998.HK_2019,2019,3491418333,0,0,100,41.58691655,0.4,0.10067,0.1610187,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,562183641.1,0.016209753,351481083.6,0.010134449,0.16,1.219E+19,1396567333
3998.HK_2018,2018,1760227327,0,0,100,43.01345156,0.36,0.06558,0.2390355,3998.HK,Bosideng International Holdings Ltd,Apparel & Accessories,420756819.2,0.015675948,115435708.1,0.004300736,0.1296,3.0984E+18,633681837.7
BCU.MI_2024,2024,7167200000,1,0,61.36363636,40.70573905,0.5,0.27809,1.481148,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,10615683946,0.411892447,1993126648,0.077334048,0.25,5.13688E+19,3583600000
BCU.MI_2023,2023,6024800000,0,0,100,49.55295925,0.5,0.2307,1.7549418,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,10573173357,0.404865073,1389921360,0.05322249,0.25,3.62982E+19,3012400000
BCU.MI_2022,2022,4698800000,0,0,100,49.67658668,0.5,0.18539,2.0789113,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,9768388416,0.385409366,871110532,0.034369452,0.25,2.20787E+19,2349400000
BCU.MI_2021,2021,4127600000,0,0,100,47.64763909,0.56,-0.11929,2.5978422,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,10722853465,-0.309896596,-492381404,0.014230104,0.3136,1.70371E+19,2311456000
BCU.MI_2020,2020,2418115910,0,0,100,52.42144612,0.36,0.1805,1.8683399,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,4517862437,0.337235352,436469921.8,0.03258025,0.1296,5.84728E+18,870521727.6
BCU.MI_2019,2019,2146080000,0,0,100,55.56222823,0.36,0.1865,0.2778462,BCU.MI,Brunello Cucinelli SpA,Apparel & Accessories,596280172.9,0.051818316,400243920,0.03478225,0.1296,4.60566E+18,772588800
CALN.S_2023,2023,267226373.2,0,0,100,40.33021412,0.56,0.11669,0.2233084,CALN.S,Calida Holding AG,Apparel & Accessories,59673893.84,0.026057857,31182645.49,0.013616556,0.3136,7.14099E+16,149646769
GOOS.TO_2024,2024,938933986.2,1,1,38.63636364,44.91516353,0.7,0.2278,1.7199528,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,1614922139,0.391805248,213889162.1,0.05189284,0.49,8.81597E+17,657253790.3
GOOS.TO_2023,2023,1091468345,0,0,100,47.40062922,0.6,0.2467,1.5790576,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,1723491385,0.38955351,269265240.7,0.06086089,0.36,1.1913E+18,654881007
GOOS.TO_2022,2022,1749271956,1,1,44.11764706,47.44664378,0.67,0.2323,1.2225201,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,2138520127,0.283991419,406355875.4,0.05396329,0.4489,3.05995E+18,1172012211
GOOS.TO_2021,2021,3488212753,0,0,100,35.66574352,0.63,0.1537,1.0779086,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,3759974525,0.165674552,536138300.1,0.02362369,0.3969,1.21676E+19,2197574034
GOOS.TO_2020,2020,2680779531,0,0,100,25.85434672,0.63,0.3202,0.7420223,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,1989198193,0.23759554,858385605.8,0.10252804,0.3969,7.18658E+18,1688891105
GOOS.TO_2019,2019,3540865087,0,0,100,17.82036503,0.63,0.4717,0.3638186,GOOS.TO,Canada Goose Holdings Inc,Apparel & Accessories,1288232579,0.171613234,1670226062,0.22250089,0.3969,1.25377E+19,2230745005
3818.HK_2024,2024,256237794.7,0,0,100,50.752408,0.43,-0.06823,0.0042868,3818.HK,China Dongxiang (Group) Co Ltd,Apparel & Accessories,1098440.178,-0.000292488,-17483104.73,0.004655333,0.1849,6.56578E+16,110182251.7
3818.HK_2023,2023,194714195.4,0,0,100,54.94971169,0.43,0.01209,0.0059552,3818.HK,China Dongxiang (Group) Co Ltd,Apparel & Accessories,1159561.976,7.19984E-05,2354094.622,0.000146168,0.1849,3.79136E+16,83727104.02
