Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD,Propensity_Score
CFR.S_2025,2025,99497361004,1,1,33.92857143,68.06018871,0.61,0.1748,0.5916268,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,58865305299,0.103416365,17392138703,0.03055504,0.3721,9.90E+21,60693390212,0.558627801
DECK.N_2024,2024,29801720717,0,0,100,62.54135546,0.9,0.3922,0.0004527,DECK.N,Deckers Outdoor Corp,Footwear,13491238.97,0.000177549,11688234865,0.15382084,0.81,8.88E+20,26821548645,0.543363131
ADSGn.DE_2018,2018,36555912326,1,1,35.71428571,86.24511425,0.89,0.1698,0.1866379,ADSGn.DE,Adidas AG,Footwear,6822718709,0.031691115,6207193913,0.02883204,0.7921,1.34E+21,32534761970,0.541363763
HRMS.PA_2022,2022,1.53E+11,1,0,76.47058824,59.55130193,0.29,0.2914,0.1914577,HRMS.PA,Hermes International SCA,Apparel & Accessories,29293028100,0.055790774,44584200000,0.08491396,0.0841,2.34E+22,44370000000,0.535058023
ADSGn.DE_2017,2017,34970485490,1,1,25,86.09091415,0.89,0.1676,0.2517428,ADSGn.DE,Adidas AG,Footwear,8803567935,0.042192093,5861053368,0.02808976,0.7921,1.22E+21,31123732086,0.518648332
HRMS.PA_2021,2021,1.62E+11,0,0,100,63.49937789,0.29,0.1986,0.2281153,HRMS.PA,Hermes International SCA,Apparel & Accessories,36954678600,0.045303699,32173200000,0.03944196,0.0841,2.62E+22,46980000000,0.515608629
CFR.S_2023,2023,67004223587,1,0,71.42857143,69.04936105,0.75,0.1964,0.8239655,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,55209168590,0.161826824,13159629512,0.03857296,0.5625,4.49E+21,50253167690,0.454757141
CFR.S_2024,2024,78823996080,0,0,100,63.59843699,0.65,0.21809,0.7914708,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,62386891237,0.172611867,17190725305,0.047563248,0.4225,6.21E+21,51235597452,0.434299075
LULU.OQ_2022,2022,38199263248,1,1,44.11764706,56.12593867,0.83,0.3832,0.0014598,LULU.OQ,Lululemon Athletica Inc,Apparel & Accessories,55763284.49,0.000559395,14637957677,0.14684224,0.6889,1.46E+21,31705388496,0.420594598
ADSGn.DE_2022,2022,22942800000,1,1,8.823529412,88.5970334,0.94,0.21359,0.6802348,ADSGn.DE,Adidas AG,Footwear,15606490969,0.145291351,4900352652,0.045620688,0.8836,5.26E+20,21566232000,0.417779193
ADSGn.DE_2023,2023,33148800000,1,1,3.571428571,90.036398,0.88,0.04059,1.2070641,ADSGn.DE,Adidas AG,Footwear,40012726438,0.048994732,1345509792,0.001647548,0.7744,1.10E+21,29170944000,0.387130733
ADSGn.DE_2024,2024,42624000000,1,1,25,83.11542954,0.81,-0.0121,1.1295431,ADSGn.DE,Adidas AG,Footwear,48145645094,-0.013667472,-515750400,0.00014641,0.6561,1.82E+21,34525440000,0.384906061
CFR.S_2022,2022,63264864042,0,0,100,76.77154422,0.73,0.1134,0.755475,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,47795023162,0.085670865,7174235582,0.01285956,0.5329,4.00E+21,46183350751,0.381837016
DIOR.PA_2021,2021,1.32E+11,0,0,100,71.53165374,0.44,0.2339,1.044228,DIOR.PA,Christian Dior SE,Apparel & Accessories,1.37838E+11,0.244244929,30874800000,0.05470921,0.1936,1.74E+22,58080000000,0.377846582
VFC.N_2019,2019,35505393945,0,0,100,75.30543466,0.86,0.3795,0.646783,VFC.N,VF Corp,Apparel & Accessories,22964285212,0.245454149,13474297002,0.14402025,0.7396,1.26E+21,30534638793,0.363429931
DECK.N_2023,2023,15584790933,0,0,100,64.9150697,0.9,0.3128,0.0005426,DECK.N,Deckers Outdoor Corp,Footwear,8456307.56,0.000169725,4874922604,0.09784384,0.81,2.43E+20,14026311840,0.363094208
CFR.S_2021,2021,69121144914,0,0,100,69.68045005,0.67,0.0754,0.7577164,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,52374225088,0.057131817,5211734327,0.00568516,0.4489,4.78E+21,46311167092,0.340403652
CROX.OQ_2021,2021,6637397199,0,0,100,60.38023127,0.9,1.0439,0.6193378,CROX.OQ,Crocs Inc,Footwear,4110790979,0.646526729,6928778936,1.08972721,0.81,4.41E+19,5973657479,0.330734048
